ranking,brand,category,types,texture,img
33,샴피뇽,2,1,4,https://img-cf.kurly.com/shop/data/goods/1595490964205l0.jpg
48,푸글리제,3,1,1,https://img-cf.kurly.com/shop/data/goods/1531990784418l0.jpg
16,zott,1,1,1,https://img-cf.kurly.com/shop/data/goods/1526632903783l0.jpg
57,라 콘타디나,3,1,1,https://img-cf.kurly.com/shop/data/goods/1523513645206l0.jpg
47,란다나,6,1,2,https://img-cf.kurly.com/shop/data/goods/1577777055511l0.jpg
32,안젤로,2,1,2,https://img-cf.kurly.com/shop/data/goods/151073128727l0.jpg
61,사토리,4,1,2,https://img-cf.kurly.com/shop/data/goods/1531114195123l0.jpg
54,퀘소로시난테,9,1,3,https://img-cf.kurly.com/shop/data/goods/1597801807938l0.jpg
49,베르기어,6,1,2,https://img-cf.kurly.com/shop/data/goods/1528104005658l0.jpg
69,그랑도르즈,7,1,4,https://img-cf.kurly.com/shop/data/goods/1477568074666l0.jpg
67,사토리,4,1,3,https://img-cf.kurly.com/shop/data/goods/1563948515444l0.jpg
17,프란시아,1,1,1,https://img-cf.kurly.com/shop/data/goods/1487655849283l0.jpg
50,브리미,3,1,1,https://img-cf.kurly.com/shop/data/goods/1494819678578l0.jpg
64,사토리,4,1,3,https://img-cf.kurly.com/shop/data/goods/1563949642720l0.jpg
31,델리지오사,11,1,1,https://img-cf.kurly.com/shop/data/goods/1600316931451l0.jpg
7,오로비안코,11,1,1,https://img-cf.kurly.com/shop/data/goods/1548133518976l0.jpg
45,더치 마스터피스,6,1,2,https://img-cf.kurly.com/shop/data/goods/145371157091l0.jpg
1,벨지오이오소,11,1,1,https://img-cf.kurly.com/shop/data/goods/1515396236580l0.jpg
71,라퀘유,2,1,2,https://img-cf.kurly.com/shop/data/goods/1490762460389l0.jpg
56,암브로시,2,1,2,https://img-cf.kurly.com/shop/data/goods/1558944332697l0.jpg
30,소리,1,1,1,https://img-cf.kurly.com/shop/data/goods/157588271423l0.jpg
27,라 콘타디나,1,1,1,https://img-cf.kurly.com/shop/data/goods/154882690843l0.jpg
46,파르네세,5,1,3,https://img-cf.kurly.com/shop/data/goods/1597383414438l0.jpg
68,라퀘유,2,1,5,https://img-cf.kurly.com/shop/data/goods/1490850630861l0.jpg
14,콜롬보,1,1,1,https://img-cf.kurly.com/shop/data/goods/1487148793685l0.jpg
39,마일랜드,4,1,2,https://img-cf.kurly.com/shop/data/goods/158492969355l0.jpg
70,퀘소로시난테,9,1,3,https://img-cf.kurly.com/shop/data/goods/1597801907799l0.jpg
52,브리미,1,1,1,https://img-cf.kurly.com/shop/data/goods/1494580840999l0.jpg
37,빔스터,6,1,2,https://img-cf.kurly.com/shop/data/goods/1579165836964l0.jpg
51,엘파스토르,2,1,4,https://img-cf.kurly.com/shop/data/goods/1575338281586l0.jpg
21,벨지오이오소,1,1,1,https://img-cf.kurly.com/shop/data/goods/1489046250671l0.jpg
11,프리코,10,1,2,https://img-cf.kurly.com/shop/data/goodsview/20170222/gv40000000201_1.jpg
19,캐시밸리,1,1,2,https://img-cf.kurly.com/shop/data/goods/1564729594540l0.jpg
43,벨레트왈,8,1,4,https://img-cf.kurly.com/shop/data/goods/1493028272308l0.jpg
25,만토바,5,1,3,https://img-cf.kurly.com/shop/data/goods/1584929308198l0.jpg
36,프레지덩,8,1,4,https://img-cf.kurly.com/shop/data/goods/1555911377839l0.jpg
35,바버,4,1,2,https://img-cf.kurly.com/shop/data/goods/1591148962586l0.jpg
2,프란시아,1,1,1,https://img-cf.kurly.com/shop/data/goods/1544576315159l0.jpg
66,포인트 레이스,2,1,5,https://img-cf.kurly.com/shop/data/goods/157708476458l0.jpg
18,캐시밸리,4,1,2,https://img-cf.kurly.com/shop/data/goods/1564729594540l0.jpg
12,일드프랑스,8,1,4,https://img-cf.kurly.com/shop/data/goods/1528161805562l0.jpg
5,브리미,1,1,1,https://img-cf.kurly.com/shop/data/goods/1522737162969l0.jpg
10,푸글리제,1,1,1,https://img-cf.kurly.com/shop/data/goods/1487213431856l0.jpg
4,카스텔로,8,1,4,https://img-cf.kurly.com/shop/data/goods/1566382934703l0.jpg
20,카스텔로,7,1,4,https://img-cf.kurly.com/shop/data/goods/1566383011754l0.jpg
63,란다나,6,1,2,https://img-cf.kurly.com/shop/data/goods/1577777190648l0.jpg
55,파르네세,5,1,3,https://img-cf.kurly.com/shop/data/goods/1597384038163l0.jpg
6,무르젤라,11,1,1,https://img-cf.kurly.com/shop/data/goods/1583469543917l0.jpg
44,델리시아,1,1,1,https://img-cf.kurly.com/shop/data/goods/152343656434l0.jpg
